handle,product_url,title,caption,image_url,local_file
ps012110-ps-coilover-for-honda-accord-98-02-acura-tl-01-03-cl,https://www.fapomoto.com/products/ps012110-ps-coilover-for-honda-accord-98-02-acura-tl-01-03-cl,Coilover for Honda Accord 1998-2002 Acura TL 2001-2003 CL PS012110,PS012110 PS Coilover for  Honda Accord 98-02 Acura TL 01-03 CL,https://cdn.shopify.com/s/files/1/0764/7258/2395/files/e21b5df106e5b7c0.jpg?v=1756437030,D:\\Projekty\\Projekt FAPO Polska\\import\\fapomoto\images_from_sitemap\ps012110-ps-coilover-for-honda-accord-98-02-acura-tl-01-03-cl__01.jpg
ps069210-ps-coilover-for-dodge-charger-2006-2010-srt-8,https://www.fapomoto.com/products/ps069210-ps-coilover-for-dodge-charger-2006-2010-srt-8,Coilover for Dodge Charger 2006-2010 SRT-8 PS069210,PS069210 PS Coilover for Dodge Charger 2006-2010 SRT-8,https://cdn.shopify.com/s/files/1/0764/7258/2395/files/1beebcdc3f02eee8.jpg?v=1756719664,D:\\Projekty\\Projekt FAPO Polska\\import\\fapomoto\images_from_sitemap\ps069210-ps-coilover-for-dodge-charger-2006-2010-srt-8__01.jpg
pf002020-pf-coilover-for-honda-civic-ex-lx-sedan-2006-2011,https://www.fapomoto.com/products/pf002020-pf-coilover-for-honda-civic-ex-lx-sedan-2006-2011,32-Level Damping Coilover for 2006-2011 Honda Civic Si EX LX Sedan PF002030,,https://cdn.shopify.com/s/files/1/0764/7258/2395/files/PF002030.jpg?v=1764307383,D:\\Projekty\\Projekt FAPO Polska\\import\\fapomoto\images_from_sitemap\pf002020-pf-coilover-for-honda-civic-ex-lx-sedan-2006-2011__01.jpg
pa095731-p3-off-road-rear-shock-for-toyota-tundar-2007-2021-4-8-lift,https://www.fapomoto.com/products/pa095731-p3-off-road-rear-shock-for-toyota-tundar-2007-2021-4-8-lift,"P3 Off-road Rear Shock For Toyota Tundar 2007-2021, 4-8 in Lift PA095731","PA095731 P3 Off-road Rear Shock For Toyota Tundar 2007-2021, 4-8  Lift",https://cdn.shopify.com/s/files/1/0764/7258/2395/files/0a12825444dcecab.jpg?v=1760147125,D:\\Projekty\\Projekt FAPO Polska\\import\\fapomoto\images_from_sitemap\pa095731-p3-off-road-rear-shock-for-toyota-tundar-2007-2021-4-8-lift__01.jpg
pa094630-p3-off-road-rear-shock-for-ford-f-150-2009-2022-4-7-5-lift,https://www.fapomoto.com/products/pa094630-p3-off-road-rear-shock-for-ford-f-150-2009-2022-4-7-5-lift,P3 Off-road Rear Shock For Ford F-150 2009-2022 4-7.5 in Lift PA094630,PA094630 P3 Off-road Rear Shock For Ford F-150 2009-2022 4-7.5  Lift,https://cdn.shopify.com/s/files/1/0764/7258/2395/files/fbecb310a8f8b18f.jpg?v=1760147107,D:\\Projekty\\Projekt FAPO Polska\\import\\fapomoto\images_from_sitemap\pa094630-p3-off-road-rear-shock-for-ford-f-150-2009-2022-4-7-5-lift__01.jpg
pa067830-p3-off-road-front-shock-for-ford-f-250-super-duty-4wd-2005-2022-2-4-5-lift,https://www.fapomoto.com/products/pa067830-p3-off-road-front-shock-for-ford-f-250-super-duty-4wd-2005-2022-2-4-5-lift,"P3 Off-road  Front Shock for  Ford F-250 Super Duty 4WD 2005-2022, 2-4.5 in Lift PA067830","PA067830 P3 Off-road  Front Shock for  Ford F-250 Super Duty 4WD 2005-2022, 2-4.5  Lift",https://cdn.shopify.com/s/files/1/0764/7258/2395/files/f91cc5c5bf98ce4e.jpg?v=1760147091,D:\\Projekty\\Projekt FAPO Polska\\import\\fapomoto\images_from_sitemap\pa067830-p3-off-road-front-shock-for-ford-f-250-super-duty-4wd-2005-2022-2-4-5-lift__01.jpg
pa067730-p3-off-road-rear-shock-for-ford-f-250-super-duty-4wd-1999-2016-2wd-2005-2006-with-ford-f-350-super-duty-2wd-1999-2016-2-4-5-lift,https://www.fapomoto.com/products/pa067730-p3-off-road-rear-shock-for-ford-f-250-super-duty-4wd-1999-2016-2wd-2005-2006-with-ford-f-350-super-duty-2wd-1999-2016-2-4-5-lift,"P3 Off-road Rear Shock  For Ford F-250 Super Duty 4WD 1999-2016, 2WD 2005-2006, with Ford F-350 Super Duty 2WD 1999-2016 2-4.5 in Lift PA067730","PA067730  P3 Off-road Rear Shock  For Ford F-250 Super Duty 4WD 1999-2016, 2WD 2005-2006, with Ford F-350 Super Duty 2WD 1999-2016 2-4.5  Lift",https://cdn.shopify.com/s/files/1/0764/7258/2395/files/61e24c276164d906.jpg?v=1760147059,D:\\Projekty\\Projekt FAPO Polska\\import\\fapomoto\images_from_sitemap\pa067730-p3-off-road-rear-shock-for-ford-f-250-super-duty-4wd-1999-2016-2wd-2005-2006-with-ford-f-350-super-duty-2wd-1999-2016-2-4-5-lift__01.jpg
pf012320-pf-coilover-for-honda-accord-03-07-acura-tsx-04-08,https://www.fapomoto.com/products/pf012320-pf-coilover-for-honda-accord-03-07-acura-tsx-04-08,32-Level Damping Coilover for HONDA ACCORD 2003-2007 ACURA TSX 2004-2008 PF012320,PF012320 PF Coilover for HONDA ACCORD 03-07 ACURA TSX 04-08,https://cdn.shopify.com/s/files/1/0764/7258/2395/files/eeb5abbce2128eed.jpg?v=1756437033,D:\\Projekty\\Projekt FAPO Polska\\import\\fapomoto\images_from_sitemap\pf012320-pf-coilover-for-honda-accord-03-07-acura-tsx-04-08__01.jpg
pf006520-pf-coilover-for-bmw-3-series-f30-328i-335i-13-19-3-bolts-version,https://www.fapomoto.com/products/pf006520-pf-coilover-for-bmw-3-series-f30-328i-335i-13-19-3-bolts-version,32-Level Damping Coilover for BMW 3-Series F30 328i 335i 2013-2019/BMW 4 Series 2013-2020 PF006530,,https://cdn.shopify.com/s/files/1/0764/7258/2395/files/PF006530.jpg?v=1764204274,D:\\Projekty\\Projekt FAPO Polska\\import\\fapomoto\images_from_sitemap\pf006520-pf-coilover-for-bmw-3-series-f30-328i-335i-13-19-3-bolts-version__01.jpg
pf002120-pf-coilover-for-honda-civic-si-2001-2005-em2-ep3,https://www.fapomoto.com/products/pf002120-pf-coilover-for-honda-civic-si-2001-2005-em2-ep3,32-Level Damping Coilover for Honda Civic & SI 2001 -2005 EM2 EP3 PF002120,PF002120 PF Coilover for Honda Civic & SI 2001 -2005 EM2 EP3,https://cdn.shopify.com/s/files/1/0764/7258/2395/files/06ddf28f42eeea3b.jpg?v=1756285569,D:\\Projekty\\Projekt FAPO Polska\\import\\fapomoto\images_from_sitemap\pf002120-pf-coilover-for-honda-civic-si-2001-2005-em2-ep3__01.jpg
